LOCATIONID;PERIOD;ASSET_TYPE;OPERATION;UNITPRICE;PRICE;STOCK;DEMAND
0-EU-ES-28-07-001-079-01;200606;PL;SALE;3330.188964018353;449086.5;6;88
0-EU-ES-28-07-001-079-01;200609;PL;SALE;3431.0244471327997;372673;12;91
0-EU-ES-28-07-001-079-01;200612;PL;SALE;3824.0351360595923;428086.5;21;100
0-EU-ES-28-07-001-079-01;200703;PL;SALE;4161.561264822134;416750;28;101
0-EU-ES-28-07-001-079-01;200706;PL;SALE;4470.434782608696;369750;44;103
0-EU-ES-28-07-001-079-01;200709;PL;SALE;4527.5;348173;64;105
0-EU-ES-28-07-001-079-01;200712;PL;SALE;4429.166666666666;343173;82;110
0-EU-ES-28-07-001-079-01;200803;PL;SALE;4381.884057971014;330756.5;108;113
0-EU-ES-28-07-001-079-01;200806;PL;SALE;4335.671936758894;318256.5;142;115
0-EU-ES-28-07-001-079-01;200809;PL;SALE;4345.454545454546;325875;168;113
0-EU-ES-28-07-001-079-01;200812;PL;SALE;4217.307692307692;323375;194;116
0-EU-ES-28-07-001-079-01;200903;PL;SALE;4166.075577840284;317500;234;119
0-EU-ES-28-07-001-079-01;200906;PL;SALE;4114.896917790656;312500;274;120
0-EU-ES-28-07-001-079-01;200606;PL;RENT;18.642550331475377;1156.7243527165863;10;NA
0-EU-ES-28-07-001-079-01;200609;PL;RENT;18.205615558081426;1012.6013067930758;12;NA
0-EU-ES-28-07-001-079-01;200612;PL;RENT;17.97905678669197;996.1956521739128;15;NA
0-EU-ES-28-07-001-079-01;200703;PL;RENT;17.97905678669197;1141.7934782608695;21;NA
0-EU-ES-28-07-001-079-01;200706;PL;RENT;16.10656261456596;1029.8369565217392;16;90
0-EU-ES-28-07-001-079-01;200709;PL;RENT;15.555555555555557;925;7;96
0-EU-ES-28-07-001-079-01;200712;PL;RENT;17.875;937.5;10;99
0-EU-ES-28-07-001-079-01;200803;PL;RENT;19.09722222222222;893.75;16;105
0-EU-ES-28-07-001-079-01;200806;PL;RENT;18.930555555555557;901.25;26;108
0-EU-ES-28-07-001-079-01;200809;PL;RENT;17.5;870;38;111
0-EU-ES-28-07-001-079-01;200812;PL;RENT;17.485;825;57;114
0-EU-ES-28-07-001-079-01;200903;PL;RENT;18.11;850;82;117
0-EU-ES-28-07-001-079-01;200906;PL;RENT;16.767857142857142;837.5;100;118
0-EU-ES-28-07-001-079-01;200606;UN;SALE;3062.579452811381;283761.1889253125;0;NA
0-EU-ES-28-07-001-079-01;200609;UN;SALE;2973.4096795755813;287102.1570334288;0;NA
0-EU-ES-28-07-001-079-01;200612;UN;SALE;2747.153676279265;331900.8490157947;1;NA
0-EU-ES-28-07-001-079-01;200703;UN;SALE;2626.3088108891034;330963.8053991493;1;NA
0-EU-ES-28-07-001-079-01;200706;UN;SALE;2645.543297145233;327965.2658258839;1;NA
0-EU-ES-28-07-001-079-01;200709;UN;SALE;2573.6998950331545;312972.56795955787;1;NA
0-EU-ES-28-07-001-079-01;200712;UN;SALE;2434.069318022822;295468.5932006221;2;NA
0-EU-ES-28-07-001-079-01;200803;UN;SALE;2382.3769423351123;296892.8994979232;2;NA
0-EU-ES-28-07-001-079-01;200806;UN;SALE;2434.5694338148173;297904.90660390013;3;NA
0-EU-ES-28-07-001-079-01;200809;UN;SALE;2400.607628476412;298354.68753988994;3;NA
0-EU-ES-28-07-001-079-01;200812;UN;SALE;2404.27943953224;314771.69170351716;4;NA
0-EU-ES-28-07-001-079-01;200903;UN;SALE;2473.5450487584794;334262.19892974116;4;NA
0-EU-ES-28-07-001-079-01;200906;UN;SALE;2503.954032227713;337335.70199233806;5;NA
0-EU-ES-28-07-001-079-01;200606;UN;RENT;11.781576101543838;2339.0324959696873;0;NA
0-EU-ES-28-07-001-079-01;200609;UN;RENT;12.997376901482122;2006.1191513278063;0;NA
0-EU-ES-28-07-001-079-01;200612;UN;RENT;12.997376901482122;2040.8859655285466;0;NA
0-EU-ES-28-07-001-079-01;200703;UN;RENT;12.997376901482122;2110.419593930027;0;NA
0-EU-ES-28-07-001-079-01;200706;UN;RENT;12.997376901482122;2145.1864081307667;0;NA
0-EU-ES-28-07-001-079-01;200709;UN;RENT;14.250626923509252;2269.0894161865963;0;NA
0-EU-ES-28-07-001-079-01;200712;UN;RENT;14.053613085727992;2790.1069780464377;0;NA
0-EU-ES-28-07-001-079-01;200803;UN;RENT;11.61402382165285;2790.1069780464377;0;NA
0-EU-ES-28-07-001-079-01;200806;UN;RENT;11.29987784020322;2497.9482323232332;0;NA
0-EU-ES-28-07-001-079-01;200809;UN;RENT;11.660911281570709;2959.7537878787875;0;NA
0-EU-ES-28-07-001-079-01;200812;UN;RENT;10.624698417386096;3337.594696969696;0;NA
0-EU-ES-28-07-001-079-01;200903;UN;RENT;10.036450879713971;3358.585858585858;0;NA
0-EU-ES-28-07-001-079-01;200906;UN;RENT;10.586597076083477;3463.5416666666674;0;NA
0-EU-ES-28-07-001-079-02;200606;PL;SALE;3724.089131561843;301087.25223716104;10;NA
0-EU-ES-28-07-001-079-02;200609;PL;SALE;3663.8338636022654;282531.1790376542;14;NA
0-EU-ES-28-07-001-079-02;200612;PL;SALE;3971.865610488937;314082.5934415987;12;80
0-EU-ES-28-07-001-079-02;200703;PL;SALE;4142.857142857143;302400;12;90
0-EU-ES-28-07-001-079-02;200706;PL;SALE;3929.054054054054;243600;22;95
0-EU-ES-28-07-001-079-02;200709;PL;SALE;3971.2052168447517;257075;33;97
0-EU-ES-28-07-001-079-02;200712;PL;SALE;4001.4844961240315;262675;53;102
0-EU-ES-28-07-001-079-02;200803;PL;SALE;3936.8333333333335;258820;87;107
0-EU-ES-28-07-001-079-02;200806;PL;SALE;3866.3888888888887;264520;118;107
0-EU-ES-28-07-001-079-02;200809;PL;SALE;3751.2762762762763;261312.5;136;107
0-EU-ES-28-07-001-079-02;200812;PL;SALE;3695.7207207207207;261312.5;152;109
0-EU-ES-28-07-001-079-02;200903;PL;SALE;3692.942942942943;266500;168;111
0-EU-ES-28-07-001-079-02;200906;PL;SALE;3678.2186321660006;266350;189;112
0-EU-ES-28-07-001-079-02;200606;PL;RENT;15.059607953757682;984.4462576311378;6;NA
0-EU-ES-28-07-001-079-02;200609;PL;RENT;14.706648392341487;861.7883462068733;7;NA
0-EU-ES-28-07-001-079-02;200612;PL;RENT;14.523632323459015;847.8260869565217;9;NA
0-EU-ES-28-07-001-079-02;200703;PL;RENT;14.523632323459015;971.7391304347825;13;NA
0-EU-ES-28-07-001-079-02;200706;PL;RENT;13.89988368053304;915.217391304348;18;NA
0-EU-ES-28-07-001-079-02;200709;PL;RENT;13.410694112956207;834.7826086956526;23;NA
0-EU-ES-28-07-001-079-02;200712;PL;RENT;12.677271647675802;793.4782608695654;30;NA
0-EU-ES-28-07-001-079-02;200803;PL;RENT;12.61344454792792;760;41;NA
0-EU-ES-28-07-001-079-02;200806;PL;RENT;12.008443132753317;829.5652173913044;25;66
0-EU-ES-28-07-001-079-02;200809;PL;RENT;11.365476628634523;881.25;8;92
0-EU-ES-28-07-001-079-02;200812;PL;RENT;12.480861244019138;850;12;88
0-EU-ES-28-07-001-079-02;200903;PL;RENT;12.258928571428571;820;22;101
0-EU-ES-28-07-001-079-02;200906;PL;RENT;11.486706349206349;832.75;32;102
0-EU-ES-28-07-001-079-02;200606;UN;RENT;15.366954181915427;943.0496645404749;0;NA
0-EU-ES-28-07-001-079-02;200609;UN;RENT;16.952748393654172;808.8258696481263;0;NA
0-EU-ES-28-07-001-079-02;200612;UN;RENT;16.952748393654172;822.8431321383409;0;NA
0-EU-ES-28-07-001-079-02;200703;UN;RENT;16.952748393654172;850.8776571187702;0;NA
0-EU-ES-28-07-001-079-02;200706;UN;RENT;16.952748393654172;864.8949196089848;0;NA
0-EU-ES-28-07-001-079-02;200709;UN;RENT;18.58738840285055;914.8500572070898;0;NA
0-EU-ES-28-07-001-079-02;200712;UN;RENT;18.330419166112247;1124.9135932110755;0;NA
0-EU-ES-28-07-001-079-02;200803;UN;RENT;15.148412266473155;1124.9135932110755;0;NA
0-EU-ES-28-07-001-079-02;200806;UN;RENT;14.738665144206827;1007.121212121212;0;NA
0-EU-ES-28-07-001-079-02;200809;UN;RENT;15.209568553378581;1193.3116883116886;0;NA
0-EU-ES-28-07-001-079-02;200812;UN;RENT;13.858014612768738;1345.6493506493512;0;NA
0-EU-ES-28-07-001-079-02;200903;UN;RENT;13.090751142998545;1354.1125541125543;0;NA
0-EU-ES-28-07-001-079-02;200906;UN;RENT;13.808318242688838;1396.4285714285716;0;NA
0-EU-ES-28-07-001-079-03;200606;PL;SALE;4196.791010733453;663944.75;4;79
0-EU-ES-28-07-001-079-03;200609;PL;SALE;4105.500626118068;631389.5;4;76
0-EU-ES-28-07-001-079-03;200612;PL;SALE;3923.9599284436495;531389.5;6;82
0-EU-ES-28-07-001-079-03;200703;PL;SALE;3745.316758241758;433889.5;12;95
0-EU-ES-28-07-001-079-03;200706;PL;SALE;3767.235946102579;439789.5;20;98
0-EU-ES-28-07-001-079-03;200709;PL;SALE;3760.217410840373;433394.75;26;99
0-EU-ES-28-07-001-079-03;200712;PL;SALE;4103.8101985040275;421800;36;103
0-EU-ES-28-07-001-079-03;200803;PL;SALE;4379.578733766233;42e4;48;103
0-EU-ES-28-07-001-079-03;200806;PL;SALE;4251.290877796902;41e4;55;102
0-EU-ES-28-07-001-079-03;200809;PL;SALE;4235.680406229634;406250;66;102
0-EU-ES-28-07-001-079-03;200812;PL;SALE;4127.246671289875;4e5;80;105
0-EU-ES-28-07-001-079-03;200903;PL;SALE;4057.6923076923076;396250;92;107
0-EU-ES-28-07-001-079-03;200906;PL;SALE;4024.982027318476;402500;108;108
0-EU-ES-28-07-001-079-03;200606;PL;RENT;17.792905754572864;1358.5358355309688;4;NA
0-EU-ES-28-07-001-079-03;200609;PL;RENT;17.375884525950067;1189.2679177654843;5;NA
0-EU-ES-28-07-001-079-03;200612;PL;RENT;17.1596512962938;1170;6;NA
0-EU-ES-28-07-001-079-03;200703;PL;RENT;17.159651296293795;1341;9;NA
0-EU-ES-28-07-001-079-03;200706;PL;RENT;16.422693146240807;1262.9999999999995;12;NA
0-EU-ES-28-07-001-079-03;200709;PL;RENT;15.844716355693416;1151.9999999999995;15;NA
0-EU-ES-28-07-001-079-03;200712;PL;RENT;14.978178737775902;1094.9999999999998;20;NA
0-EU-ES-28-07-001-079-03;200803;PL;RENT;15.782081022516806;1012.5;13;81
0-EU-ES-28-07-001-079-03;200806;PL;RENT;17.515841013824883;884.375;4;88
0-EU-ES-28-07-001-079-03;200809;PL;RENT;17.073195735374522;821.875;6;90
0-EU-ES-28-07-001-079-03;200812;PL;RENT;15.346045197740114;850;10;93
0-EU-ES-28-07-001-079-03;200903;PL;RENT;15.507224339739949;940.625;14;93
0-EU-ES-28-07-001-079-03;200906;PL;RENT;15.727462434978046;915.625;19;100
0-EU-ES-28-07-001-079-03;200606;UN;SALE;4440.235630984877;609589.8165685004;0;NA
0-EU-ES-28-07-001-079-03;200609;UN;SALE;4310.954150968094;616767.0494519018;0;NA
0-EU-ES-28-07-001-079-03;200612;UN;SALE;3982.9202230194487;713005.8146314024;1;NA
0-EU-ES-28-07-001-079-03;200703;UN;SALE;3807.7150780118973;710992.8112021775;1;NA
0-EU-ES-28-07-001-079-03;200706;UN;SALE;3835.6019141035313;704551.2002286585;1;NA
0-EU-ES-28-07-001-079-03;200709;UN;SALE;3731.440817608094;672343.1453610631;2;NA
0-EU-ES-28-07-001-079-03;200712;UN;SALE;3528.9994857931374;634740.2413031448;2;NA
0-EU-ES-28-07-001-079-03;200803;UN;SALE;3454.054057628614;637800.006515566;3;NA
0-EU-ES-28-07-001-079-03;200806;UN;SALE;3529.7245712949007;639974.0502191287;3;NA
0-EU-ES-28-07-001-079-03;200809;UN;SALE;3480.485548934934;640940.2918651572;4;NA
0-EU-ES-28-07-001-079-03;200812;UN;SALE;3485.8090700162775;676208.1119451749;5;NA
0-EU-ES-28-07-001-079-03;200903;UN;SALE;4006.941255478089;1004127.5632692163;4;76
0-EU-ES-28-07-001-079-03;200906;UN;SALE;4439.6551724137935;1287500;3;76
0-EU-ES-28-07-001-079-03;200606;UN;RENT;45.402450976636906;1605.6666682859575;0;NA
0-EU-ES-28-07-001-079-03;200609;UN;RENT;50.08776096748953;1377.1329211746513;0;NA
0-EU-ES-28-07-001-079-03;200612;UN;RENT;50.08776096748953;1400.9991628026783;0;NA
0-EU-ES-28-07-001-079-03;200703;UN;RENT;50.08776096748953;1448.731646058732;0;NA
0-EU-ES-28-07-001-079-03;200706;UN;RENT;50.08776096748953;1472.5978876867587;0;NA
0-EU-ES-28-07-001-079-03;200709;UN;RENT;54.91738836166303;1557.6531105100453;0;NA
0-EU-ES-28-07-001-079-03;200712;UN;RENT;54.15815962736741;1915.3140383130801;0;NA
0-EU-ES-28-07-001-079-03;200803;UN;RENT;44.756757725733294;1915.3140383130801;0;NA
0-EU-ES-28-07-001-079-03;200806;UN;RENT;43.546138925723554;1714.7569444444425;0;NA
0-EU-ES-28-07-001-079-03;200809;UN;RENT;44.93744709886907;2031.7708333333321;0;NA
0-EU-ES-28-07-001-079-03;200812;UN;RENT;40.94421195256828;2291.145833333332;0;NA
0-EU-ES-28-07-001-079-03;200903;UN;RENT;38.6772928441999;2305.555555555554;1;NA
0-EU-ES-28-07-001-079-03;200906;UN;RENT;40.79738148899307;2377.6041666666647;1;NA
0-EU-ES-28-07-001-079-04;200606;PL;SALE;4595.906835258425;528617.3469828987;10;77
0-EU-ES-28-07-001-079-04;200609;PL;SALE;4096.061363636363;451689.75;4;80
0-EU-ES-28-07-001-079-04;200612;PL;SALE;4264.412121212122;461439.75;8;94
0-EU-ES-28-07-001-079-04;200703;PL;SALE;4383.333333333334;461439.75;13;99
0-EU-ES-28-07-001-079-04;200706;PL;SALE;4362.5;472500;22;98
0-EU-ES-28-07-001-079-04;200709;PL;SALE;4544.261294261294;504750;34;101
0-EU-ES-28-07-001-079-04;200712;PL;SALE;4653.998778998779;532250;50;105
0-EU-ES-28-07-001-079-04;200803;PL;SALE;4797.366272616273;543750;79;110
0-EU-ES-28-07-001-079-04;200806;PL;SALE;4902.764842300557;518750;110;111
0-EU-ES-28-07-001-079-04;200809;PL;SALE;4812.89246467818;499250;126;110
0-EU-ES-28-07-001-079-04;200812;PL;SALE;4762.3044328552805;499250;144;112
0-EU-ES-28-07-001-079-04;200903;PL;SALE;4838.261658962507;5e5;177;116
0-EU-ES-28-07-001-079-04;200906;PL;SALE;4883.313393939394;5e5;218;115
0-EU-ES-28-07-001-079-04;200606;PL;RENT;18.042733549926186;1235.8256555634314;30;NA
0-EU-ES-28-07-001-079-04;200609;PL;RENT;18.636751390347708;1867.9128277817158;17;82
0-EU-ES-28-07-001-079-04;200612;PL;RENT;19.631410256410255;2250;4;84
0-EU-ES-28-07-001-079-04;200703;PL;RENT;20.320512820512818;2037.5;4;85
0-EU-ES-28-07-001-079-04;200706;PL;RENT;19.919871794871796;1787.5;4;86
0-EU-ES-28-07-001-079-04;200709;PL;RENT;19.23076923076923;2e3;4;88
0-EU-ES-28-07-001-079-04;200712;PL;RENT;16.813477835723596;1734.375;6;92
0-EU-ES-28-07-001-079-04;200803;PL;RENT;14.198093220338983;909.375;12;100
0-EU-ES-28-07-001-079-04;200806;PL;RENT;15.846153846153847;1050;13;99
0-EU-ES-28-07-001-079-04;200809;PL;RENT;16.221153846153847;1075;20;106
0-EU-ES-28-07-001-079-04;200812;PL;RENT;16.146929824561404;875;30;102
0-EU-ES-28-07-001-079-04;200903;PL;RENT;16.771929824561404;862.5;35;106
0-EU-ES-28-07-001-079-04;200906;PL;RENT;16;862.5;52;111
0-EU-ES-28-07-001-079-04;200606;UN;SALE;6002.450658690006;957959.2017373722;0;NA
0-EU-ES-28-07-001-079-04;200609;UN;SALE;5827.683873912187;969238.0914051337;1;NA
0-EU-ES-28-07-001-079-04;200612;UN;SALE;5384.237257442584;1120475.5434782607;1;NA
0-EU-ES-28-07-001-079-04;200703;UN;SALE;5147.389412990872;1117312.1455576555;1;NA
0-EU-ES-28-07-001-079-04;200706;UN;SALE;5185.0877181211035;1107189.2722117202;2;NA
0-EU-ES-28-07-001-079-04;200709;UN;SALE;5044.279460580447;1056574.9054820412;2;NA
0-EU-ES-28-07-001-079-04;200712;UN;SALE;4770.61287923525;997482.6323251412;3;NA
0-EU-ES-28-07-001-079-04;200803;UN;SALE;4669.2992841835;1002290.9971644611;4;NA
0-EU-ES-28-07-001-079-04;200806;UN;SALE;4771.593072700055;1005707.4669187142;5;NA
0-EU-ES-28-07-001-079-04;200809;UN;SALE;4705.030208302636;1007225.8979206046;6;NA
0-EU-ES-28-07-001-079-04;200812;UN;SALE;4712.226712109388;1062648.629489603;7;NA
0-EU-ES-28-07-001-079-04;200903;UN;SALE;4847.982668201545;1128447.3062381851;8;NA
0-EU-ES-28-07-001-079-04;200906;UN;SALE;4081.776024363234;1071942.344045368;6;78
0-EU-ES-28-07-001-079-04;200606;UN;RENT;17.355869557274588;2113.2526119138115;0;NA
0-EU-ES-28-07-001-079-04;200609;UN;RENT;19.146910069128847;1812.474407114328;0;NA
0-EU-ES-28-07-001-079-04;200612;UN;RENT;19.146910069128847;1843.885283638802;0;NA
0-EU-ES-28-07-001-079-04;200703;UN;RENT;19.146910069128847;1906.7070366877501;0;NA
0-EU-ES-28-07-001-079-04;200706;UN;RENT;19.146910069128847;1938.117913212224;0;NA
0-EU-ES-28-07-001-079-04;200709;UN;RENT;20.993118396222208;2050.0609306132756;0;NA
0-EU-ES-28-07-001-079-04;200712;UN;RENT;20.702890124551367;2520.786209270348;0;NA
0-EU-ES-28-07-001-079-04;200803;UN;RENT;17.109042181315026;2520.786209270348;0;NA
0-EU-ES-28-07-001-079-04;200806;UN;RENT;16.646262275724354;2256.828682576359;1;NA
0-EU-ES-28-07-001-079-04;200809;UN;RENT;17.178113809015137;2674.0575146492974;1;NA
0-EU-ES-28-07-001-079-04;200812;UN;RENT;15.651630836842902;3015.4265590726113;1;NA
0-EU-ES-28-07-001-079-04;200903;UN;RENT;14.785061929318928;3034.3915059850183;1;NA
0-EU-ES-28-07-001-079-04;200906;UN;RENT;15.595502361000111;3129.2162405470513;1;NA
0-EU-ES-28-07-001-079-05;200606;PL;SALE;4062.237418465518;407264.0647583382;6;80
0-EU-ES-28-07-001-079-05;200609;PL;SALE;3477.476483585858;300011.25;5;82
0-EU-ES-28-07-001-079-05;200612;PL;SALE;3719.1350909359553;344636.25;9;90
0-EU-ES-28-07-001-079-05;200703;PL;SALE;4351.180294812961;418635;14;94
0-EU-ES-28-07-001-079-05;200706;PL;SALE;4520.123839009288;413813.75;22;96
0-EU-ES-28-07-001-079-05;200709;PL;SALE;4407.193237466219;403458.75;32;99
0-EU-ES-28-07-001-079-05;200712;PL;SALE;4491.923124844512;426155;51;104
0-EU-ES-28-07-001-079-05;200803;PL;SALE;4663.6772557993445;45e4;74;108
0-EU-ES-28-07-001-079-05;200806;PL;SALE;4680.52738336714;449250;87;107
0-EU-ES-28-07-001-079-05;200809;PL;SALE;4650.818530128875;449250;101;106
0-EU-ES-28-07-001-079-05;200812;PL;SALE;4595.959595959595;445500;116;109
0-EU-ES-28-07-001-079-05;200903;PL;SALE;4599.020376175548;445500;130;111
0-EU-ES-28-07-001-079-05;200906;PL;SALE;4531.451149425287;432500;153;112
0-EU-ES-28-07-001-079-05;200606;PL;RENT;16.34204275534441;1340.1601830663626;11;NA
0-EU-ES-28-07-001-079-05;200609;PL;RENT;15.959026128266025;1173.1817952116223;12;NA
0-EU-ES-28-07-001-079-05;200612;PL;RENT;14.32646628905536;948.101703678441;8;78
0-EU-ES-28-07-001-079-05;200703;PL;RENT;13.620192307692307;880;4;83
0-EU-ES-28-07-001-079-05;200706;PL;RENT;13.65315934065934;880;4;90
0-EU-ES-28-07-001-079-05;200709;PL;RENT;13.673992673992673;1030;4;90
0-EU-ES-28-07-001-079-05;200712;PL;RENT;14.349358974358974;1170;4;90
0-EU-ES-28-07-001-079-05;200803;PL;RENT;14.471153846153847;1226.25;8;93
0-EU-ES-28-07-001-079-05;200806;PL;RENT;14.849358974358974;1181.25;16;99
0-EU-ES-28-07-001-079-05;200809;PL;RENT;15.860294117647058;1015;21;104
0-EU-ES-28-07-001-079-05;200812;PL;RENT;15.790849673202613;1125;25;100
0-EU-ES-28-07-001-079-05;200903;PL;RENT;15.055555555555555;1175;30;106
0-EU-ES-28-07-001-079-05;200906;PL;RENT;14.596153846153847;1025;41;105
0-EU-ES-28-07-001-079-05;200606;UN;SALE;7498.2431878694915;1925244.444444446;4;NA
0-EU-ES-28-07-001-079-05;200609;UN;SALE;6648.004866521616;1255333.333333334;4;74
0-EU-ES-28-07-001-079-05;200612;UN;SALE;5909.090909090909;84e4;3;76
0-EU-ES-28-07-001-079-05;200703;UN;SALE;5692.581168831169;778125;4;78
0-EU-ES-28-07-001-079-05;200706;UN;SALE;5500.466653512234;778125;6;85
0-EU-ES-28-07-001-079-05;200709;UN;SALE;4838.323796369377;87e4;8;88
0-EU-ES-28-07-001-079-05;200712;UN;SALE;4151.785714285715;9e5;9;89
0-EU-ES-28-07-001-079-05;200803;UN;SALE;4934.381054028845;1345e3;12;92
0-EU-ES-28-07-001-079-05;200806;UN;SALE;5140.539478937269;1574e3;16;92
0-EU-ES-28-07-001-079-05;200809;UN;SALE;4921.847987362482;1306e3;18;91
0-EU-ES-28-07-001-079-05;200812;UN;SALE;5156.9591767070815;1352e3;20;92
0-EU-ES-28-07-001-079-05;200903;UN;SALE;5370.600163231363;156e4;22;94
0-EU-ES-28-07-001-079-05;200906;UN;SALE;5727.000910226287;181e4;26;98
0-EU-ES-28-07-001-079-05;200606;UN;RENT;21.437314502107046;3848.7127496010917;2;NA
0-EU-ES-28-07-001-079-05;200609;UN;RENT;23.649540090224665;3300.9273570324563;2;NA
0-EU-ES-28-07-001-079-05;200612;UN;RENT;23.649540090224665;3358.133693972177;3;NA
0-EU-ES-28-07-001-079-05;200703;UN;RENT;23.649540090224665;3472.546367851619;3;NA
0-EU-ES-28-07-001-079-05;200706;UN;RENT;23.649540090224665;3529.752704791341;4;NA
0-EU-ES-28-07-001-079-05;200709;UN;RENT;25.929906879897878;3733.626352395671;4;NA
0-EU-ES-28-07-001-079-05;200712;UN;RENT;25.571427881385063;4590.923947256468;4;NA
0-EU-ES-28-07-001-079-05;200803;UN;RENT;21.132442650615335;4590.923947256468;6;NA
0-EU-ES-28-07-001-079-05;200806;UN;RENT;16.332818270682484;4718.75;5;82
0-EU-ES-28-07-001-079-05;200809;UN;RENT;13.333333333333334;5500;3;80
0-EU-ES-28-07-001-079-05;200812;UN;RENT;13.333333333333334;5500;3;78
0-EU-ES-28-07-001-079-05;200903;UN;RENT;14.479166666666668;4700;4;78
0-EU-ES-28-07-001-079-05;200906;UN;RENT;14.907094594594595;4575;5;78
0-EU-ES-28-07-001-079-06;200606;PL;SALE;2368.6446206342835;247500;5;81
0-EU-ES-28-07-001-079-06;200609;PL;SALE;2853.6367673260543;252375;9;82
0-EU-ES-28-07-001-079-06;200612;PL;SALE;3503.2736346516012;260875;17;90
0-EU-ES-28-07-001-079-06;200703;PL;SALE;3916.7130247737728;297270.375;29;96
0-EU-ES-28-07-001-079-06;200706;PL;SALE;3898.3598501705983;304470.375;48;100
0-EU-ES-28-07-001-079-06;200709;PL;SALE;3676.847290640394;274950;67;101
0-EU-ES-28-07-001-079-06;200712;PL;SALE;3676.847290640394;26e4;89;102
0-EU-ES-28-07-001-079-06;200803;PL;SALE;3831.1938061938063;258625;118;106
0-EU-ES-28-07-001-079-06;200806;PL;SALE;3751.4805506993007;253625;148;107
